ID	Result	NatureCode	CallRecived	Address
2017-000039	11	321	2017/1/1 5:36:34	2543 BROADWAY
2017-000040	1	736	2017/1/1 5:50:54	9303 SOUTHEAST MALL STREET
2017-000041	11	321	2017/1/1 5:54:22	5901 EAST 13TH AVENUE
2017-000042	1	911	2017/1/1 6:08:24	3201 SOUTHEAST RAYMOND STREET
2017-000043	11	321	2017/1/1 6:20:49	SERVICE ROAD
2017-000044	1	323	2017/1/1 6:26:02	HANA HIGHWAY
2017-000045	1	600	2017/1/1 6:36:05	7501 NORTHEAST GLISAN STREET
2017-000046	11	321	2017/1/1 6:40:48	4342 SOUTHEAST 27TH AVENUE
2017-000047	1	324	2017/1/1 6:43:09	SOUTHEAST GLADSTONE STREET
2017-000048	10	311	2017/1/1 6:45:06	3155 EAST BURNSIDE STREET
2017-000049	1	735	2017/1/1 6:47:35	NORTHEAST 33RD AVENUE
2017-000050	11	321	2017/1/1 6:49:11	1670 KALAKAUA AVENUE
2017-000051	1	611	2017/1/1 6:49:50	510 8TH AVENUE NORTHEAST
2017-000052	11	321	2017/1/1 6:53:18	9001 SOUTHWEST 3RD STREET
2017-000053	1	324	2017/1/1 6:55:50	BASELINE ROAD
2017-000054	1	735	2017/1/1 6:57:26	5401 ARENDALSVEIEN
2017-000055	1	611	2017/1/1 7:00:42	UNKNOWN ADDRESS
2017-000056	10	311	2017/1/1 7:01:44	UNKNOWN ADDRESS
2017-000057	11	321	2017/1/1 7:07:13	3701 NORTHEAST HALSEY STREET
2017-000058	1	324	2017/1/1 7:11:05	WATLING ROAD/STYGLER ROAD
2017-000059	11	321	2017/1/1 7:15:56	2504 SOUTHEAST WOODWARD STREET
2017-000060	10	311	2017/1/1 7:18:47	102 SOUTHEAST 47TH AVENUE
2017-000061	11	321	2017/1/1 7:20:58	5800 SOUTHEAST DIVISION STREET
2017-000062	1	150	2017/1/1 7:35:04	UNKNOWN ADDRESS
2017-000063	11	321	2017/1/1 7:35:21	1301 NORTHWEST VICKSBURG AVENUE
2017-000064	1	324	2017/1/1 7:44:17	9TH AVENUE SOUTHEAST/10TH STREET SOUTHEAST
2017-000065	11	321	2017/1/1 7:47:04	2101 SOUTHWEST SIMPSON AVENUE
2017-000066	11	321	2017/1/1 7:48:31	7701 SOUTHEAST MILWAUKIE AVENUE
2017-000067	1	736	2017/1/1 7:58:12	5201 NORTHWEST MAPLE STREET
2017-000068	1	745	2017/1/1 8:00:02	5901 NORTHEAST HAZELFERN PLACE
2017-000069	11	321	2017/1/1 8:04:45	520 NORTHWEST WALL STREET
2017-000070	1	324	2017/1/1 8:09:28	SECONDARY ROAD
2017-000071	11	321	2017/1/1 8:10:09	4840 SOUTHWEST PHILOMATH BOULEVARD
2017-000072	1	324	2017/1/1 8:15:05	SERVICE ROAD
2017-000073	1	150	2017/1/1 8:18:24	5801 HIGH STREET
2017-000074	1	611	2017/1/1 8:18:26	3619 SOUTHEAST DIVISION STREET
2017-000075	1	611	2017/1/1 8:19:07	GEORGE J KING BOULEVARD
2017-000076	11	321	2017/1/1 8:26:25	9701 NORTHEAST SEWARD AVENUE
2017-000077	1	611	2017/1/1 8:29:55	7102 4TH STREET SOUTHEAST
2017-000078	1	622	2017/1/1 8:44:58	SERVICE ROAD
2017-000079	1	611	2017/1/1 8:46:38	3701 SOUTHEAST DIVISION STREET
2017-000080	11	321	2017/1/1 8:47:31	8601 TABLE MESA DRIVE
2017-000081	1	151	2017/1/1 8:50:27	4801 VESTREGATE
2017-000082	11	321	2017/1/1 9:04:45	1301 NORTHWEST SAGINAW AVENUE
2017-000083	11	321	2017/1/1 9:07:38	330 SOUTHEAST 6TH AVENUE
2017-000084	10	311	2017/1/1 9:09:47	510 8TH AVENUE NORTHEAST
2017-000085	11	321	2017/1/1 9:11:05	2201 DARTMOUTH AVENUE
2017-000086	10	311	2017/1/1 9:15:27	3564 SOUTHEAST POWELL BOULEVARD
2017-000087	1	710	2017/1/1 9:15:49	2801 YOUNG STREET
2017-000088	1	324	2017/1/1 9:17:23	SERVICE ROAD
2017-000089	11	321	2017/1/1 9:17:50	6031 SOUTHEAST BELMONT STREET
2017-000090	1	322	2017/1/1 9:26:16	KENNEDY PARKWAY NORTH
2017-000091	11	321	2017/1/1 9:27:10	9209 SOUTHEAST STARK STREET
2017-000092	1	324	2017/1/1 9:35:04	SERVICE ROAD
2017-000093	11	321	2017/1/1 9:41:05	6002 1ST AVENUE SOUTHEAST
2017-000094	10	311	2017/1/1 9:45:33	2101 SOUTHWEST SIMPSON AVENUE
2017-000095	11	321	2017/1/1 9:51:59	901 BASELINE ROAD
2017-000096	11	321	2017/1/1 9:58:04	UNKNOWN ADDRESS
2017-000097	1	740	2017/1/1 10:05:30	7401 REDSTONE ROAD
2017-000098	1	324	2017/1/1 10:05:53	BROADWAY
2017-000099	11	321	2017/1/1 10:08:27	5201 SOUTHEAST 28TH AVENUE
2017-000100	1	611	2017/1/1 10:17:24	330 SOUTHEAST 6TH AVENUE
2017-000101	11	321	2017/1/1 10:17:33	280 CHAPELFIELD ROAD
2017-000102	11	321	2017/1/1 10:18:06	3801 SOUTHWEST HOPKINS AVENUE
2017-000103	1	324	2017/1/1 10:19:40	601 NORTHEAST GREENWOOD AVENUE
2017-000104	1	622	2017/1/1 10:25:22	3400 SOUTHEAST MILWAUKIE AVENUE
2017-000105	11	321	2017/1/1 10:25:40	UNKNOWN ADDRESS
2017-000106	1	531	2017/1/1 10:28:55	6701 BROADWAY
2017-000107	11	321	2017/1/1 10:37:46	6402 TOEDTLI DRIVE
2017-000108	1	700	2017/1/1 10:38:33	9001 ALEKOKI PLACE
2017-000109	11	321	2017/1/1 10:46:11	3301 SOUTH KING STREET
2017-000110	10	311	2017/1/1 10:52:28	2802 SOUTHEAST 28TH PLACE
2017-000111	1	324	2017/1/1 10:55:53	SOUTHEAST 58TH AVENUE
2017-000112	11	321	2017/1/1 10:57:39	5401 ARENDALSVEIEN
2017-000113	10	311	2017/1/1 10:59:11	RESIDENTIAL ROAD
2017-000114	10	311	2017/1/1 11:01:25	6901 SOUTHEAST MORRISON STREET
2017-000115	1	142	2017/1/1 11:02:38	6501 SW HAWKEYE AVE
2017-000116	11	321	2017/1/1 11:11:41	UNKNOWN ADDRESS
2017-000117	1	745	2017/1/1 11:13:45	3401 UNIVERSITY STREET
2017-000118	10	300	2017/1/1 11:15:56	3202 NORTHEAST PACIFIC STREET
2017-000119	1	131	2017/1/1 11:22:15	4424 SOUTHEAST WOODSTOCK BOULEVARD
2017-000120	11	321	2017/1/1 11:30:51	8401 NORTHEAST 92ND AVENUE
2017-000121	11	321	2017/1/1 11:36:55	6701 KINCAID ST.
2017-000122	11	321	2017/1/1 11:40:07	901 BELMONT ROAD
2017-000123	1	324	2017/1/1 11:44:34	SOUTHEAST 60TH AVENUE/SOUTHEAST HOLGATE BOULEVARD
2017-000124	1	671	2017/1/1 11:46:23	ANDALUS DRIVE/INVICTA PLACE
2017-000125	10	311	2017/1/1 11:53:23	4805 NORTHEAST GLISAN STREET
2017-000126	11	321	2017/1/1 11:54:21	2004 BLUEBIRD TERRACE NW
2017-000127	1	600	2017/1/1 11:57:28	9501 SOUTHEAST STARK STREET
2017-000128	11	321	2017/1/1 11:59:55	SOLODDVEIEN
2017-000129	11	321	2017/1/1 12:01:39	5429 SOUTHEAST FRANCIS STREET
2017-000130	11	321	2017/1/1 12:11:00	NORTHWEST POPPY DRIVE/NORTHWEST FOXTAIL STREET
2017-000131	1	324	2017/1/1 12:14:46	TRUNK ROAD
2017-000132	1	324	2017/1/1 12:16:23	SOUTHEAST 9TH AVENUE/SOUTHEAST SHERMAN STREET
2017-000133	1	661	2017/1/1 12:18:38	1502 NORTHEAST 65TH AVENUE
2017-000134	11	321	2017/1/1 12:22:37	6402 TOEDTLI DRIVE
2017-000135	1	324	2017/1/1 12:23:44	SERVICE ROAD
2017-000136	1	611	2017/1/1 12:26:25	SERVICE ROAD
2017-000137	11	321	2017/1/1 12:26:37	4111 NORTHEAST TILLAMOOK STREET
2017-000138	1	622	2017/1/1 12:26:55	EAST 17TH AVENUE/MILL STREET
2017-000139	11	321	2017/1/1 12:28:21	8140 SOUTHEAST CORA STREET
2017-000140	11	321	2017/1/1 12:35:52	145 SOUTHEAST 82ND AVENUE
2017-000141	11	321	2017/1/1 12:38:48	2932 SOUTHEAST DIVISION STREET
2017-000142	10	300	2017/1/1 12:40:32	9601 SOUTHEAST LAFAYETTE STREET
2017-000143	1	531	2017/1/1 12:50:15	4901 SOUTHEAST 28TH PLACE
2017-000144	1	611	2017/1/1 12:51:16	218 SOUTHEAST 82ND AVENUE
2017-000145	10	311	2017/1/1 12:51:34	1255 HILYARD
2017-000146	11	321	2017/1/1 12:53:52	901 SEAVIEW AVENUE
2017-000147	10	300	2017/1/1 13:02:54	8001 WASHINGTON STREET
2017-000148	1113	111	2017/1/1 13:04:03	6801 SOUTHEAST REEDWAY STREET
2017-000149	10	311	2017/1/1 13:04:57	202 WEST BROADWAY
2017-000150	11	321	2017/1/1 13:13:21	3801 SOUTHWEST HOPKINS AVENUE
2017-000151	11	321	2017/1/1 13:14:36	8901 KEEAUMOKU STREET
2017-000152	1	324	2017/1/1 13:15:12	NORTHWEST COLORADO AVENUE/NORTHWEST BROADWAY STREET
2017-000153	11	321	2017/1/1 13:17:21	214 SOUTHEAST WOODLAND BOULEVARD
2017-000154	10	311	2017/1/1 13:17:33	4805 NORTHEAST GLISAN STREET
2017-000155	10	311	2017/1/1 13:17:53	519 SOUTHEAST 20TH AVENUE
2017-000156	10	311	2017/1/1 13:18:44	7801 KALÄKAUA AVENUE
2017-000157	11	321	2017/1/1 13:27:07	2101 SOUTHWEST SIMPSON AVENUE
2017-000158	11	321	2017/1/1 13:27:33	UNKNOWN ADDRESS
2017-000159	1	511	2017/1/1 13:30:51	4601 HIGH STREET
2017-000160	10	300	2017/1/1 13:37:07	5631 SOUTHEAST WOODWARD STREET
2017-000161	11	321	2017/1/1 13:38:12	6201 BEAR CREEK ROAD
2017-000162	1	554	2017/1/1 13:39:19	5503 WALNUT STREET
2017-000163	1	324	2017/1/1 13:42:08	NORTHEAST ROYAL COURT/NORTHEAST IMPERIAL AVENUE
2017-000164	1	651	2017/1/1 13:42:59	3423 SOUTHEAST SHERMAN STREET
2017-000165	10	311	2017/1/1 13:49:08	UNKNOWN ADDRESS
2017-000166	1	740	2017/1/1 13:54:21	2875 SOUTHWEST WESTERN BOULEVARD
2017-000167	1	510	2017/1/1 13:56:16	2801 17TH STREET NORTHEAST
2017-000168	1	324	2017/1/1 13:56:36	SOUTHEAST FRANKLIN STREET
2017-000169	11	321	2017/1/1 13:59:54	901 BASELINE ROAD
2017-000170	11	321	2017/1/1 14:02:36	1144 NORTHEAST 82ND AVENUE
2017-000171	11	321	2017/1/1 14:10:23	2838 SOUTHEAST 82ND AVENUE
2017-000172	1	611	2017/1/1 14:10:46	2515 SOUTHEAST CLINTON STREET
2017-000173	11	321	2017/1/1 14:14:01	UNKNOWN ADDRESS
2017-000174	11	321	2017/1/1 14:14:08	6001 PARK DRIVE NORTHEAST
2017-000175	10	311	2017/1/1 14:14:39	10001 NORTHWEST UTICA AVENUE
2017-000176	1	600	2017/1/1 14:22:00	501 NORTHWEST BOND STREET
2017-000177	1	600	2017/1/1 14:28:25	2305 SOUTHEAST 82ND AVENUE
2017-000178	11	321	2017/1/1 14:33:23	UNKNOWN ADDRESS
2017-000179	1	324	2017/1/1 14:42:00	TERJE LøVåS VEI
2017-000180	11	321	2017/1/1 14:50:37	1101 PUNAHOU STREET
2017-000181	1	600	2017/1/1 14:50:38	4 YAWKEY WAY
2017-000182	1	131	2017/1/1 14:54:11	SERVICE ROAD
2017-000183	1	622	2017/1/1 14:55:05	6602 EDISON LANE
2017-000184	1	324	2017/1/1 14:58:31	SERVICE ROAD
2017-000185	1	412	2017/1/1 15:10:41	9255 SOUTHEAST MORRISON STREET
2017-000186	1	151	2017/1/1 15:19:43	2115 SOUTHEAST MORRISON STREET
2017-000187	11	321	2017/1/1 15:20:22	2480 ARAPAHOE AVENUE
2017-000188	1	611	2017/1/1 15:21:08	3188 NORTH HIGHWAY 97
2017-000189	11	321	2017/1/1 15:23:25	NORTHEAST OREGON STREET
2017-000190	11	321	2017/1/1 15:25:36	7001 SOUTHEAST BELMONT STREET
2017-000191	11	321	2017/1/1 15:26:16	9703 SOUTHEAST TAYLOR STREET
2017-000192	1	324	2017/1/1 15:27:20	GARTNERIMYRA
2017-000193	1	324	2017/1/1 15:27:41	8101 NORTHEAST RAVENWOOD DRIVE
2017-000195	1	251	2017/1/1 15:35:44	SERVICE ROAD
2017-000194	1	324	2017/1/1 15:35:44	3580 NORTHEAST BROADWAY
2017-000196	10	300	2017/1/1 15:37:01	4800 BASELINE ROAD
2017-000197	10	300	2017/1/1 15:37:05	6402 TOEDTLI DRIVE
2017-000198	10	300	2017/1/1 15:37:15	4805 NORTHEAST GLISAN STREET
2017-000199	11	321	2017/1/1 15:38:37	6201 28TH STREET
2017-000200	1	611	2017/1/1 15:44:00	5901 GREFSTADHEIA
2017-000201	10	300	2017/1/1 15:44:01	7401 PARK DRIVE NORTHEAST
2017-000202	11	321	2017/1/1 15:45:16	3188 NORTH HIGHWAY 97
2017-000203	11	321	2017/1/1 15:46:47	1406 SOUTHEAST 12TH AVENUE
2017-000204	1	611	2017/1/1 15:48:48	680 SOUTHWEST POWERHOUSE DRIVE
2017-000205	11	321	2017/1/1 15:50:41	1039 SOUTH KING STREET
2017-000206	1	600	2017/1/1 16:01:05	NORTHEAST 7TH STREET
2017-000207	11	321	2017/1/1 16:02:29	6401 BENTHAVEN PLACE
2017-000208	11	321	2017/1/1 16:06:10	639 SOUTHEAST MORRISON STREET
2017-000209	1	622	2017/1/1 16:12:51	1601 SOUTHEAST BELMONT STREET
2017-000210	10	311	2017/1/1 16:13:14	UNKNOWN ADDRESS
2017-000211	10	300	2017/1/1 16:13:31	8301 SOUTHEAST IVON STREET
2017-000212	10	311	2017/1/1 16:14:40	UNKNOWN ADDRESS
2017-000213	1	746	2017/1/1 16:20:40	5601 NORTHEAST HANCOCK STREET
2017-000214	10	311	2017/1/1 16:21:30	3501 CRIPPLE CREEK TRAIL
2017-000215	11	321	2017/1/1 16:21:36	1515 GREENBRIAR BOULEVARD
2017-000216	11	321	2017/1/1 16:24:57	201 NORTHWEST BALTIMORE AVENUE
2017-000217	11	321	2017/1/1 16:28:17	1119 SOUTHEAST MARKET STREET
2017-000218	10	300	2017/1/1 16:32:08	701 SOUTHEAST DIVISION STREET
2017-000219	1	746	2017/1/1 16:32:28	1701 SOUTHEAST 32ND AVENUE
2017-000220	11	321	2017/1/1 16:37:48	2580 ARAPAHOE AVENUE
2017-000221	1	324	2017/1/1 16:39:17	SERVICE ROAD
2017-000222	11	321	2017/1/1 16:39:45	4401 KAPIOLANI BOULEVARD
2017-000223	1	500	2017/1/1 16:40:45	2802 SOUTHEAST 28TH PLACE
2017-000224	1	611	2017/1/1 16:50:07	9601 NORTHEAST 28TH AVENUE
2017-000225	10	311	2017/1/1 16:55:34	3701 WILDWOOD BOULEVARD SOUTHWEST
2017-000226	10	311	2017/1/1 17:04:42	1515 GREENBRIAR BOULEVARD
2017-000227	1	671	2017/1/1 17:05:57	50 SOUTHWEST DIVISION STREET
2017-000228	11	321	2017/1/1 17:07:52	8780 ASTRONAUT BOULEVARD
2017-000229	1	324	2017/1/1 17:08:21	SOUTHEAST BROOKLYN STREET
2017-000230	1	611	2017/1/1 17:09:41	9601 SOUTHEAST WASHINGTON STREET
2017-000231	10	311	2017/1/1 17:13:32	627 SOUTHEAST MORRISON STREET
2017-000232	1	324	2017/1/1 17:15:05	PEARL STREET
2017-000233	11	321	2017/1/1 17:25:20	8001 11TH AVENUE NORTHWEST
2017-000234	11	321	2017/1/1 17:26:51	UNKNOWN ADDRESS
2017-000235	11	321	2017/1/1 17:28:53	1601 SOUTHWEST GEROLD STREET
2017-000236	1	324	2017/1/1 17:28:57	VALMONT ROAD
2017-000237	11	321	2017/1/1 17:32:56	3155 EAST BURNSIDE STREET
2017-000238	1	671	2017/1/1 17:45:27	9301 SOUTHEAST HOLGATE BOULEVARD
2017-000239	10	311	2017/1/1 17:45:55	6201 EAGLE WAY
2017-000240	1	324	2017/1/1 17:46:15	SERVICE ROAD
2017-000241	1	324	2017/1/1 17:51:08	SERVICE ROAD
2017-000242	1	324	2017/1/1 17:56:15	SOUTHWEST PLYMOUTH DRIVE
2017-000243	1	600	2017/1/1 18:01:30	5901 WALNUT STREET
2017-000244	1	324	2017/1/1 18:01:55	SERVICE ROAD
2017-000245	1	324	2017/1/1 18:08:11	30TH STREET
2017-000246	11	321	2017/1/1 18:11:23	UNKNOWN ADDRESS
2017-000247	1	600	2017/1/1 18:14:58	3930 NORTHEAST HANCOCK STREET
2017-000248	1	324	2017/1/1 18:19:56	GML. KIRKEVEI/VINDVEIEN
2017-000249	11	321	2017/1/1 18:20:42	7702 SOUTHEAST GRANT STREET
2017-000250	1	611	2017/1/1 18:24:06	2425 KALAKAUA AVENUE
2017-000251	11	321	2017/1/1 18:25:11	715 SOUTHEAST GRAND AVENUE
2017-000252	10	311	2017/1/1 18:27:18	2101 SOUTHWEST SIMPSON AVENUE
2017-000253	1	324	2017/1/1 18:32:40	NORTHWEST FEDERAL STREET/NORTHWEST NASHVILLE AVENUE
2017-000254	1	251	2017/1/1 18:34:16	3001 NORTHEAST 11TH STREET
2017-000255	1	745	2017/1/1 18:36:56	902 OLIVE STREET
2017-000256	1	324	2017/1/1 18:43:04	SERVICE ROAD
2017-000257	1	600	2017/1/1 18:46:42	4701 30TH STREET
2017-000258	11	321	2017/1/1 18:50:53	716 SOUTHEAST GRAND AVENUE
2017-000259	1	611	2017/1/1 18:51:17	1255 HILYARD
2017-000260	10	300	2017/1/1 18:51:47	5401 ALGAROBA STREET
2017-000261	1	600	2017/1/1 18:54:54	5401 ALGAROBA STREET
2017-000262	1	324	2017/1/1 19:00:00	HAVERSHAM COURT SOUTH/WICKHAM WAY
2017-000263	10	311	2017/1/1 19:02:39	3119 SOUTHEAST 12TH AVENUE
2017-000264	10	311	2017/1/1 19:06:34	222 EAST BLAND STREET
2017-000265	1	710	2017/1/1 19:07:26	6701 SOUTHEAST IVON STREET
2017-000266	10	311	2017/1/1 19:13:58	SERVICE ROAD
2017-000267	1	555	2017/1/1 19:20:24	310 WEST KAAHUMANU AVENUE
2017-000268	1	324	2017/1/1 19:25:37	NORTHEAST IRVING STREET/NORTHEAST 91ST AVENUE
2017-000269	1	251	2017/1/1 19:29:27	1703 NORTHEAST GLISAN STREET
2017-000270	1	324	2017/1/1 19:31:03	ORANGE AVENUE/WASHINGTON AVENUE
2017-000271	1	440	2017/1/1 19:31:17	4501 SOUTHEAST MILLER AVENUE
2017-000272	11	321	2017/1/1 19:31:52	CHURCH STREET WEST
2017-000273	10	311	2017/1/1 19:36:36	8602 KAMANI STREET
2017-000274	1	700	2017/1/1 19:38:35	2935 NORTHEAST GLISAN STREET
2017-000275	11	321	2017/1/1 19:50:04	9903 SOUTHEAST 52ND AVENUE
2017-000276	11	321	2017/1/1 19:50:26	1006 SOUTHEAST HAWTHORNE BOULEVARD
2017-000277	1	531	2017/1/1 19:58:18	301 SOUTHEAST YEW LANE
2017-000278	11	321	2017/1/1 20:04:12	1045 NORTHEAST 3RD STREET
2017-000279	11	321	2017/1/1 20:06:03	2020 KALAKAUA AVENUE
2017-000280	1	324	2017/1/1 20:07:47	SECONDARY_LINK ROAD
2017-000281	11	321	2017/1/1 20:15:52	6101 PEARL STREET
2017-000282	11	321	2017/1/1 20:16:26	4901 WEST 7TH AVENUE
2017-000283	11	321	2017/1/1 20:23:49	401 SOUTHEAST 40TH AVENUE
2017-000284	1	324	2017/1/1 20:31:06	SOUTHEAST BUSH STREET
2017-000285	1	324	2017/1/1 20:31:09	SERVICE ROAD
2017-000286	11	321	2017/1/1 20:31:53	5101 EAST 13TH AVENUE
2017-000287	11	321	2017/1/1 20:33:17	7902 SOUTHEAST 47TH AVENUE
2017-000289	11	321	2017/1/1 20:34:50	UNKNOWN ADDRESS
2017-000288	1010	321	2017/1/1 20:35:20	UNKNOWN ADDRESS
2017-000290	11	321	2017/1/1 20:37:27	801 WEST 7TH AVENUE
2017-000291	11	321	2017/1/1 20:45:40	4124 SOUTHEAST 82ND AVENUE
2017-000292	11	321	2017/1/1 20:46:48	3609 SOUTHEAST DIVISION STREET
2017-000293	1	324	2017/1/1 20:47:12	SERVICE ROAD
2017-000294	11	321	2017/1/1 20:47:30	3155 EAST BURNSIDE STREET
2017-000295	11	321	2017/1/1 20:48:45	145 SOUTHEAST 82ND AVENUE
2017-000296	10	311	2017/1/1 20:59:34	3401 STORGATEN
2017-000297	11	321	2017/1/1 21:08:15	5101 AGATE STREET
2017-000298	11	321	2017/1/1 21:14:51	2101 SOUTHWEST SIMPSON AVENUE
2017-000299	11	321	2017/1/1 21:16:47	3101 SOUTHEAST YEW LANE
2017-000300	1	440	2017/1/1 21:21:42	7401 ÃˌSTERSKOGEN
2017-000301	11	321	2017/1/1 21:23:29	3655 NORTH ATLANTIC AVENUE
2017-000302	1	740	2017/1/1 21:28:08	1515 GREENBRIAR BOULEVARD
2017-000303	10	300	2017/1/1 21:35:46	1045 NORTHEAST 3RD STREET
2017-000304	11	321	2017/1/1 21:39:57	1365 NORTHWEST GALVESTON AVENUE
2017-000305	1	552	2017/1/1 21:41:26	1100 SOUTHEAST DIVISION STREET
2017-000306	11	321	2017/1/1 21:47:03	2824 SOUTHEAST 74TH AVENUE
2017-000307	1	911	2017/1/1 21:57:58	601 WEST BROADWAY
2017-000308	10	311	2017/1/1 22:09:54	1045 NORTHEAST 3RD STREET
2017-000309	11	321	2017/1/1 22:36:17	1350 PLEASANT STREET
2017-000310	11	321	2017/1/1 22:41:45	2515 SOUTHEAST CLINTON STREET
2017-000311	11	321	2017/1/1 22:41:48	3564 SOUTHEAST POWELL BOULEVARD
2017-000312	11	321	2017/1/1 22:47:48	KASON'S WAY/PRESEVATION LANE
2017-000313	11	321	2017/1/1 22:51:26	NORTHEAST 82ND AVENUE/NORTHEAST EVERETT STREET
2017-000314	10	311	2017/1/1 22:56:59	1045 NORTHEAST 3RD STREET
2017-000315	1	221	2017/1/1 22:59:01	SERVICE ROAD
2017-000316	1	552	2017/1/1 23:16:58	2801 NORTHEAST VIKING DRIVE
2017-000317	1	730	2017/1/1 23:20:15	UNKNOWN ADDRESS
2017-000318	11	321	2017/1/1 23:31:53	231 SOUTHEAST 12TH AVENUE
2017-000319	10	311	2017/1/1 23:32:51	5401 ALGAROBA STREET
2017-000320	10	311	2017/1/1 23:44:23	2941 SOUTHEAST HAWTHORNE BOULEVARD
2017-000321	1	324	2017/1/1 23:47:18	28TH STREET FRONTAGE ROAD/COLORADO AVENUE
2017-000322	1113	111	2017/1/1 23:50:26	9101 SOUTHEAST ALDER STREET
2017-000323	1	622	2017/1/1 23:52:24	2401 EAST 17TH AVENUE
2017-000324	11	321	2017/1/1 23:54:14	2501 NORTHWEST INNESWOOD PLACE
2017-000325	10	311	2017/1/2 0:00:24	2301 ALUA STREET
2017-000326	1	744	2017/1/2 0:01:16	8301 SOUTH KING STREET
2017-000327	1	743	2017/1/2 0:06:11	2502 EAST 17TH AVENUE
2017-000328	1	611	2017/1/2 0:06:43	35 SOUTHWEST CENTURY DRIVE
2017-000329	1	552	2017/1/2 0:15:55	225 SOUTHWEST CENTURY DRIVE
2017-000330	10	300	2017/1/2 0:17:31	SERVICE ROAD
2017-000331	1	730	2017/1/2 0:19:14	8001 SOUTHEAST TAGGART STREET
2017-000332	1	531	2017/1/2 0:28:48	2169 KALIA ROAD
2017-000333	1	324	2017/1/2 0:29:34	MOTORWAY ROAD
2017-000334	11	321	2017/1/2 0:32:58	304 SOUTHEAST 2ND AVENUE
2017-000335	10	311	2017/1/2 0:37:49	401 NORTHEAST HASSALO STREET
2017-000336	1	510	2017/1/2 0:43:27	7803 BASELINE ROAD
2017-000337	10	311	2017/1/2 0:48:51	9801 COTTONWOOD STREET
2017-000338	11	321	2017/1/2 1:02:21	3101 ARAPAHOE AVENUE
2017-000339	10	311	2017/1/2 1:06:01	901 BASELINE ROAD
2017-000340	11	321	2017/1/2 1:08:24	449 SOUTHEAST 3RD STREET
2017-000341	1	324	2017/1/2 1:10:53	SERVICE ROAD
2017-000342	11	321	2017/1/2 1:15:57	9904 SOUTHWEST MOUNT BAKER DRIVE
2017-000343	1	324	2017/1/2 1:26:01	8TH AVENUE SOUTH
