Date,Nature Code,Address,Call ID,First In Unit,Call Processing Time,Initial Response,Full Complement,Full Overwhelm?,Partial Overwhelm?,Has Response(s),Remarks,Level 1 Cause,Level 2 Cause,Custom Content,Region,Dispatch Rule,Response Plan,X Coordinate,Y Coordinate,Longitude,Latitude
01/01/2017 01:29:11,622,7733 SOUTHEAST RAYMOND STREET,2017-000013,E55,0,3.606867,3.606867,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6951503.823,406989.8642,-125.31102,44.68085
01/01/2017 02:14:32,311,901 BELMONT ROAD,2017-000014,M74,0,4.626483,4.626483,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6942731.652,447946.987,-125.35414,44.79155
01/01/2017 02:14:57,511,5001 WALNUT STREET,2017-000015,E71,0,3.9806,3.9806,N,N,Y,,Service,Service N.O.S.,,Atlantis,Catchall Rule,Generic Response,6929172.894,420985.2119,-125.39998,44.71549
01/01/2017 02:17:52,324,NORTHEAST THOMPSON STREET/NORTHEAST 41ST AVENUE,2017-000016,E23,0,2.951733,2.951733,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6942818.23,426598.01,-125.34887,44.73311
01/01/2017 02:21:52,321,3119 SOUTHEAST 12TH AVENUE,2017-000017,E73,0,1.6738,5.083433,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6933508.878,412906.7122,-125.38145,44.69409
01/01/2017 02:23:02,321,8401 NORTHEAST SANDY BOULEVARD,2017-000018,E17,0,3.35275,5.585767,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6937114.066,422504.7934,-125.36984,44.72096
01/01/2017 02:39:51,734,110 4TH ST SE,2017-000019,E19,0,3.50505,3.50505,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6961398.209,420853.1178,-125.27619,44.72042
01/01/2017 02:46:59,311,4504 SOUTHEAST ANKENY STREET,2017-000020,M2,0,4.296817,4.296817,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6945015.083,420410.7974,-125.33901,44.71653
01/01/2017 02:54:57,321,9302 SOUTHEAST KELLY STREET,2017-000021,E73,0,1.69675,5.0882,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6933461.898,412934.1158,-125.38164,44.69416
01/01/2017 02:58:22,311,6801 SOUTHEAST 11TH AVENUE,2017-000022,M63,0,5.9264,5.9264,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6933085.424,413029.1511,-125.3831,44.69435
01/01/2017 03:11:22,554,7401 RYCROFT STREET,2017-000023,E79,0,2.905283,2.905283,N,N,Y,,Service,Service N.O.S.,,Paradise Island,Catchall Rule,Generic Response,6914788.442,424937.8684,-125.45614,44.7239
01/01/2017 03:14:24,321,3401 KINCAID PLACE,2017-000024,E54,0,4.116167,4.980017,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6926104.399,427482.6099,-125.41328,44.73277
01/01/2017 03:27:53,311,3551 SOUTHEAST DIVISION STREET,2017-000025,M39,0,2.929533,2.929533,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6940388.588,414104.1951,-125.35532,44.6985
01/01/2017 03:31:51,321,9701 SOUTHWEST WOLVERINE DRIVE,2017-000026,E53,0,4.67345,6.0127,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6949920.502,397416.8465,-125.3149,44.65438
01/01/2017 03:33:46,600,3285 30TH STREET,2017-000027,E71,0,4.0999,4.0999,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6929480.623,425914.7742,-125.39994,44.72904
01/01/2017 03:34:15,321,4901 EAST LAKE SAMMAMISH PARKWAY SOUTHEAST,2017-000028,M68,0,4.7656,4.7656,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6953143.954,435425.1123,-125.31123,44.75898
01/01/2017 03:34:33,311,360 NORTHEAST QUIMBY AVENUE,2017-000029,M1,0,3.577967,3.577967,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6940628.337,437674.6754,-125.35985,44.76308
01/01/2017 04:21:52,743,4101 CANYON BOULEVARD,2017-000030,E6,0,4.530067,4.530067,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6925423.846,420664.1416,-125.4143,44.71398
01/01/2017 04:32:34,321,2501 SOUTHEAST RHONE STREET,2017-000031,M32,0,4.102317,4.102317,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6949232.445,410100.1079,-125.32045,44.68899
01/01/2017 04:38:44,745,8435 NORTHEAST GLISAN STREET,2017-000032,E37,0,4.435267,4.435267,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6954533.633,421382.2107,-125.30268,44.72075
01/01/2017 04:43:33,611,WEST STREET,2017-000033,E16,0,5.740917,5.740917,N,N,Y,,Fire,Good Intent,,Gramsham,Catchall Rule,Generic Response,6917413.818,382058.6341,-125.43599,44.60695
01/01/2017 04:46:08,744,1101 PUNAHOU STREET,2017-000034,E79,0,4.977233,4.977233,N,N,Y,,Fire,False Alarm,,Paradise Island,Catchall Rule,Generic Response,6918834.15,426432.1194,-125.44096,44.72868
01/01/2017 04:55:01,324,SERVICE ROAD,2017-000035,E8,0,4.449733,4.449733,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6927433.628,417927.0877,-125.40594,44.70683
01/01/2017 04:59:53,740,1935 SOUTHEAST HAWTHORNE BOULEVARD,2017-000036,E52,0,4.354133,4.354133,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6935774.938,417146.5436,-125.37373,44.70607
01/01/2017 05:21:10,300,7201 NORTHEAST COUCH STREET,2017-000037,M39,0,5.268217,5.268217,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6938271.224,421123.8902,-125.36507,44.71738
01/01/2017 05:36:06,311,401 SOUTHEAST RHINE STREET,2017-000038,M32,0,5.284117,5.284117,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6952725.786,410266.2931,-125.30708,44.69002
01/01/2017 05:36:34,321,2543 BROADWAY,2017-000039,E6,0,2.2543,5.109867,N,N,Y,,EMS,ALS,,Paradise Island,ALS Rule,ALS Response,6922039.411,423035.0327,-125.42785,44.71991
01/01/2017 05:50:54,736,9303 SOUTHEAST MALL STREET,2017-000040,E41,0,4.051783,4.051783,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6934289.457,409536.9956,-125.37767,44.68499
01/01/2017 05:54:22,321,5901 EAST 13TH AVENUE,2017-000041,M3,0,3.5268,3.5268,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6935920.897,399503.5487,-125.36909,44.65779
01/01/2017 06:08:24,911,3201 SOUTHEAST RAYMOND STREET,2017-000042,E76,0,3.386233,3.386233,N,N,Y,,Service,Service N.O.S.,,Atlantis,Catchall Rule,Generic Response,6947908.958,406730.7166,-125.32475,44.67955
01/01/2017 06:20:49,321,SERVICE ROAD,2017-000043,E29,0,2.198467,5.611033,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6961538.075,429637.6757,-125.27765,44.74449
01/01/2017 06:26:02,323,HANA HIGHWAY,2017-000044,E80,0,3.6824,3.6824,N,N,Y,,MVA,MVA N.O.S.,,Paradise Island,Catchall Rule,Generic Response,6909142.134,429855.4447,-125.47899,44.73642
01/01/2017 06:36:05,600,7501 NORTHEAST GLISAN STREET,2017-000045,E52,0,4.267167,4.267167,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6939178.44,422090.1856,-125.36181,44.72017
01/01/2017 06:40:48,321,4342 SOUTHEAST 27TH AVENUE,2017-000046,E41,0,3.3966,5.041283,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6937270.328,409315.4269,-125.36618,44.68488
01/01/2017 06:43:09,324,SOUTHEAST GLADSTONE STREET,2017-000047,E44,0,4.517217,4.517217,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6936438.178,410065.4445,-125.36955,44.68679
01/01/2017 06:45:06,311,3155 EAST BURNSIDE STREET,2017-000048,M2,0,4.965817,4.965817,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6939564.901,420911.4334,-125.36005,44.71701
01/01/2017 06:47:35,735,NORTHEAST 33RD AVENUE,2017-000049,E23,0,3.663533,3.663533,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6940348.179,425412.9303,-125.35809,44.72946
01/01/2017 06:49:11,321,1670 KALAKAUA AVENUE,2017-000050,M79,0,2.729467,2.729467,N,N,Y,,EMS,ALS,,Paradise Island,ALS Rule,ALS Response,6916881.084,423649.9531,-125.4478,44.72073
01/01/2017 06:49:50,611,510 8TH AVENUE NORTHEAST,2017-000051,E29,0,4.484233,4.484233,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6957767.569,431452.468,-125.29255,44.74885
01/01/2017 06:53:18,321,9001 SOUTHWEST 3RD STREET,2017-000052,E9,0,2.323067,6.766133,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6957001.8,398478.0489,-125.28798,44.65844
01/01/2017 06:55:50,324,BASELINE ROAD,2017-000053,E54,0,4.090917,4.090917,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6929073.991,431967.6804,-125.40292,44.74554
01/01/2017 06:57:26,735,5401 ARENDALSVEIEN,2017-000054,E81,0,1.755233,1.755233,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6969285.232,413959.5107,-125.24434,44.70281
01/01/2017 07:00:42,611,UNKNOWN ADDRESS,2017-000055,E2,0,3.162083,3.162083,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6943808.187,416986.0418,-125.34285,44.70696
01/01/2017 07:01:44,311,UNKNOWN ADDRESS,2017-000056,M2,0,4.050583,4.050583,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6945284.234,416980.6721,-125.33719,44.70718
01/01/2017 07:07:13,321,3701 NORTHEAST HALSEY STREET,2017-000057,E20,0,2.886517,5.389417,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6947371.719,424398.1259,-125.33088,44.72784
01/01/2017 07:11:05,324,WATLING ROAD/STYGLER ROAD,2017-000058,E13,0,4.544683,4.544683,N,N,Y,,MVA,MVA N.O.S.,,Gramsham,Catchall Rule,Generic Response,6936940.174,388052.396,-125.36253,44.6266
01/01/2017 07:15:56,321,2504 SOUTHEAST WOODWARD STREET,2017-000059,M32,0,4.382617,4.382617,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6947604.83,412340.7276,-125.32721,44.69486
01/01/2017 07:18:47,311,102 SOUTHEAST 47TH AVENUE,2017-000060,M2,0,4.956217,4.956217,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6943736.615,413058.9302,-125.34222,44.69619
01/01/2017 07:20:58,321,5800 SOUTHEAST DIVISION STREET,2017-000061,E49,0,3.506367,5.429083,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6946326.693,413742.4342,-125.33244,44.69849
01/01/2017 07:35:04,150,UNKNOWN ADDRESS,2017-000062,E27,0,4.213883,4.213883,N,N,Y,,Fire,Outdoor Fire,,Atlantis,Catchall Rule,Generic Response,6938907.065,405650.6788,-125.35905,44.67511
01/01/2017 07:35:21,321,1301 NORTHWEST VICKSBURG AVENUE,2017-000063,E38,0,2.753617,5.2114,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6936893.755,438218.6172,-125.37433,44.76395
01/01/2017 07:44:17,324,9TH AVENUE SOUTHEAST/10TH STREET SOUTHEAST,2017-000064,E75,0,4.210117,4.210117,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6948303.687,443472.0087,-125.33168,44.78022
01/01/2017 07:47:04,321,2101 SOUTHWEST SIMPSON AVENUE,2017-000065,M1,0,4.758467,4.948583,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6934392.238,431029.0728,-125.38227,44.74385
01/01/2017 07:48:31,321,7701 SOUTHEAST MILWAUKIE AVENUE,2017-000066,E41,0,4.096517,5.6082,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6933927.965,409265.961,-125.379,44.68419
01/01/2017 07:58:12,736,5201 NORTHWEST MAPLE STREET,2017-000067,E10,0,3.1246,3.1246,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6948456.855,434701.7724,-125.32908,44.75623
01/01/2017 08:00:02,745,5901 NORTHEAST HAZELFERN PLACE,2017-000068,E72,0,3.968717,3.968717,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6941596.976,423368.9141,-125.35282,44.72407
01/01/2017 08:04:45,321,520 NORTHWEST WALL STREET,2017-000069,E38,0,4.3813,4.87255,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6936512.472,434064.2079,-125.37483,44.75252
01/01/2017 08:09:28,324,SECONDARY ROAD,2017-000070,E49,0,3.716167,3.716167,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6942343.224,415406.952,-125.34811,44.70239
01/01/2017 08:10:09,321,4840 SOUTHWEST PHILOMATH BOULEVARD,2017-000071,E76,0,4.763783,5.2385,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6946706.492,402458.8092,-125.32839,44.66766
01/01/2017 08:15:05,324,SERVICE ROAD,2017-000072,E8,0,3.5271,3.5271,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6923598.938,414724.6515,-125.41991,44.69742
01/01/2017 08:18:24,150,5801 HIGH STREET,2017-000073,E6,0,2.018783,2.018783,N,N,Y,,Fire,Outdoor Fire,,Atlantis,Catchall Rule,Generic Response,6923174.002,422279.2895,-125.42332,44.71803
01/01/2017 08:18:26,611,3619 SOUTHEAST DIVISION STREET,2017-000074,E39,0,3.201183,3.201183,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6940730.531,414081.6876,-125.354,44.6985
01/01/2017 08:19:07,611,GEORGE J KING BOULEVARD,2017-000075,E78,0,3.813933,3.813933,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6995412.805,393811.2849,-125.13957,44.6518
01/01/2017 08:26:25,321,9701 NORTHEAST SEWARD AVENUE,2017-000076,M1,0,3.79265,3.79265,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6940958.31,438371.5518,-125.35874,44.76504
01/01/2017 08:29:55,611,7102 4TH STREET SOUTHEAST,2017-000077,E19,0,3.424333,3.424333,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6961649.311,420728.0991,-125.2752,44.72011
01/01/2017 08:44:58,622,SERVICE ROAD,2017-000078,E68,0,4.737833,4.737833,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6953155.989,435521.7812,-125.31121,44.75924
01/01/2017 08:46:38,611,3701 SOUTHEAST DIVISION STREET,2017-000079,E39,0,3.2983,3.2983,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6940870.353,414081.9877,-125.35346,44.69852
01/01/2017 08:47:31,321,8601 TABLE MESA DRIVE,2017-000080,M63,0,1.33285,1.33285,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6926194.421,408051.2541,-125.40839,44.67958
01/01/2017 08:50:27,151,4801 VESTREGATE,2017-000081,E81,0,4.269467,4.269467,N,N,Y,,Fire,Outdoor Fire,,Atlantis,Catchall Rule,Generic Response,6968067.771,411176.803,-125.24839,44.695
01/01/2017 09:04:45,321,1301 NORTHWEST SAGINAW AVENUE,2017-000082,E38,0,1.13495,5.348283,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6935733.335,437716.4974,-125.37867,44.76239
01/01/2017 09:07:38,321,330 SOUTHEAST 6TH AVENUE,2017-000083,E7,0,2.586167,5.289583,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6932423.075,420306.8996,-125.38734,44.71417
01/01/2017 09:09:47,311,510 8TH AVENUE NORTHEAST,2017-000084,M12,0,5.340083,5.340083,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6957713.56,431538.6535,-125.29278,44.74908
01/01/2017 09:11:05,321,2201 DARTMOUTH AVENUE,2017-000085,E4,0,3.931983,4.9108,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6929597.993,410230.1709,-125.39584,44.68611
01/01/2017 09:15:27,311,3564 SOUTHEAST POWELL BOULEVARD,2017-000086,M39,0,4.59965,4.59965,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6940335.827,411007.4071,-125.35481,44.69002
01/01/2017 09:15:49,710,2801 YOUNG STREET,2017-000087,E79,0,4.233517,4.233517,N,N,Y,,Fire,False Alarm,,Paradise Island,Catchall Rule,Generic Response,6919407.866,423787.0065,-125.43813,44.72153
01/01/2017 09:17:23,324,SERVICE ROAD,2017-000088,E55,0,2.80755,2.80755,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6952719.91,407541.1688,-125.30648,44.68255
01/01/2017 09:17:50,321,6031 SOUTHEAST BELMONT STREET,2017-000089,E48,0,1.9293,4.4941,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6947408.688,418119.7534,-125.32929,44.71065
01/01/2017 09:26:16,322,KENNEDY PARKWAY NORTH,2017-000090,E66,0,5.458883,5.458883,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6983737.381,451656.7259,-125.19728,44.80836
01/01/2017 09:27:10,321,9209 SOUTHEAST STARK STREET,2017-000091,E37,0,3.207867,5.116083,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6956017.019,418500.4876,-125.29632,44.7131
01/01/2017 09:35:04,324,SERVICE ROAD,2017-000092,E7,0,4.246733,4.246733,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6931200.6,421698.7592,-125.39236,44.71778
01/01/2017 09:41:05,321,6002 1ST AVENUE SOUTHEAST,2017-000093,E34,0,3.492683,4.30505,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6961139.62,419599.7761,-125.2769,44.71694
01/01/2017 09:45:33,311,2101 SOUTHWEST SIMPSON AVENUE,2017-000094,M1,0,5.825533,5.825533,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6934392.238,431029.0728,-125.38227,44.74385
01/01/2017 09:51:59,321,901 BASELINE ROAD,2017-000095,E47,0,4.3627,5.923283,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6931925.139,431821.8531,-125.39193,44.74562
01/01/2017 09:58:04,321,UNKNOWN ADDRESS,2017-000096,E49,0,3.395033,3.582883,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6943683.474,416226.4561,-125.34316,44.70486
01/01/2017 10:05:30,740,7401 REDSTONE ROAD,2017-000097,E31,0,3.888567,3.888567,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6928133.787,402898.2106,-125.39975,44.66579
01/01/2017 10:05:53,324,BROADWAY,2017-000098,E6,0,2.148067,2.148067,N,N,Y,,MVA,MVA N.O.S.,,Paradise Island,Catchall Rule,Generic Response,6922099.604,422989.1862,-125.42761,44.7198
01/01/2017 10:08:27,321,5201 SOUTHEAST 28TH AVENUE,2017-000099,M39,0,3.234483,3.234483,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6937603.722,413062.8591,-125.36577,44.69519
01/01/2017 10:17:24,611,330 SOUTHEAST 6TH AVENUE,2017-000100,E7,0,2.586167,2.586167,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6932423.075,420306.8996,-125.38734,44.71417
01/01/2017 10:17:33,321,280 CHAPELFIELD ROAD,2017-000101,M13,0,4.432317,4.432317,N,N,Y,,EMS,ALS,,Gramsham,ALS Rule,ALS Response,6937838.928,388674.582,-125.35923,44.62846
01/01/2017 10:18:06,321,3801 SOUTHWEST HOPKINS AVENUE,2017-000102,E9,0,3.90335,6.244733,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6956788.761,401453.3768,-125.28947,44.66655
01/01/2017 10:19:40,324,601 NORTHEAST GREENWOOD AVENUE,2017-000103,E1,0,2.08425,2.08425,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6941570.948,434959.5055,-125.3556,44.7558
01/01/2017 10:25:22,622,3400 SOUTHEAST MILWAUKIE AVENUE,2017-000104,E73,0,2.707933,2.707933,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6933377.618,412002.2041,-125.38174,44.69159
01/01/2017 10:25:40,321,UNKNOWN ADDRESS,2017-000105,M63,0,3.189817,3.189817,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6925964.611,405858.492,-125.40876,44.67354
01/01/2017 10:28:55,531,6701 BROADWAY,2017-000106,E8,0,4.782467,4.782467,N,N,Y,,Service,Service N.O.S.,,Atlantis,Catchall Rule,Generic Response,6923512.257,417340.47,-125.42086,44.70457
01/01/2017 10:37:46,321,6402 TOEDTLI DRIVE,2017-000107,E4,0,3.6837,5.345733,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6931640.157,405941.2961,-125.387,44.67471
01/01/2017 10:38:33,700,9001 ALEKOKI PLACE,2017-000108,E6,0,4.902167,4.902167,N,N,Y,,Fire,False Alarm,,Paradise Island,Catchall Rule,Generic Response,6920025.651,425757.607,-125.43622,44.72703
01/01/2017 10:46:11,321,3301 SOUTH KING STREET,2017-000109,M79,0,3.937583,3.937583,N,N,Y,,EMS,ALS,,Paradise Island,ALS Rule,ALS Response,6918677.388,423915.4299,-125.44097,44.72176
01/01/2017 10:52:28,311,2802 SOUTHEAST 28TH PLACE,2017-000110,M39,0,2.746933,2.746933,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6937884.156,413419.7665,-125.36477,44.69622
01/01/2017 10:55:53,324,SOUTHEAST 58TH AVENUE,2017-000111,E32,0,1.908133,1.908133,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6946344.544,409990.6612,-125.33151,44.68822
01/01/2017 10:57:39,321,5401 ARENDALSVEIEN,2017-000112,E81,0,1.755233,5.522333,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6969285.232,413959.5107,-125.24434,44.70281
01/01/2017 10:59:11,311,RESIDENTIAL ROAD,2017-000113,M2,0,4.625667,4.625667,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6945057.715,415433.076,-125.3377,44.70291
01/01/2017 11:01:25,311,6901 SOUTHEAST MORRISON STREET,2017-000114,M39,0,4.7062,4.7062,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6939242.752,418822.5631,-125.36081,44.71123
01/01/2017 11:02:38,142,6501 SW HAWKEYE AVE,2017-000115,E9,0,4.637283,4.637283,N,N,Y,,Fire,Outdoor Fire,,Atlantis,Catchall Rule,Generic Response,6951657.411,398277.8857,-125.30844,44.65702
01/01/2017 11:11:41,321,UNKNOWN ADDRESS,2017-000116,M63,0,3.379533,3.379533,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6925890.936,405655.8683,-125.409,44.67297
01/01/2017 11:13:45,745,3401 UNIVERSITY STREET,2017-000117,E3,0,2.741117,2.741117,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6937841.435,398399.3352,-125.36146,44.65508
01/01/2017 11:15:56,300,3202 NORTHEAST PACIFIC STREET,2017-000118,M18,0,4.509917,4.509917,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6948737.601,422492.9537,-125.32519,44.72284
01/01/2017 11:22:15,131,4424 SOUTHEAST WOODSTOCK BOULEVARD,2017-000119,E27,0,2.170167,2.170167,N,N,Y,,Fire,Vehicle Fire,,Atlantis,Catchall Rule,Generic Response,6942554.384,404362.7723,-125.34476,44.67219
